PtID,CompletedProtocol,Condition,IsSR,NormalFirst,SessionTime,StartKSS,EndKSS,TrialNo,TaskVersion,NoBlkBall,OddsA,OddsB,CorrectResp,PtResp,RT,IsCorrect,NoBrainers,NoBrainersTotal,Accuracy,L(X|A),L(X|B), LR(A) ,Prior(A),LogLLA,LogBaserate,post_odds,post_prob,IsEasy
2,1,2,1,1,1,3,3,34,2,7,0.4,0.6,1,0,1109,0,0,,,0.019509221,0.000304832,64.00000001,0.4,4.158883083,-0.405465108,42.66666666,0.97710,1
2,1,2,1,1,1,3,3,35,2,7,0.6,0.4,1,1,966,1,0,7,0.657142857,0.019509221,0.000304832,64.00000001,0.6,4.158883083,0.405465108,95.99999996,0.98969,1
2,1,2,1,1,2,3,3,1,1,2,0.1,0.9,0,0,1888,1,0,,,0.000609663,0.009754611,0.0625,0.1,-2.772588722,-2.197224577,0.006944444,0.00690,1
2,1,2,1,1,2,3,3,2,1,5,0.2,0.8,2,0,1794,1,0,,,0.004877305,0.001219326,4.000000001,0.2,1.386294361,-1.386294361,1,0.50000,0
2,1,2,1,1,2,3,3,3,1,3,1,0,1,1,1273,1,1,,,0.001219326,0.004877305,0.25,0.999999,-1.386294361,13.81550956,249999.7505,1.00000,1
2,1,2,1,1,2,3,3,4,1,6,0.1,0.9,1,0,1698,0,0,,,0.009754611,0.000609663,16,0.1,2.772588722,-2.197224577,1.777777778,0.64000,0
2,1,2,1,1,2,3,3,5,1,2,0.2,0.8,0,0,1315,1,0,,,0.000609663,0.009754611,0.0625,0.2,-2.772588722,-1.386294361,0.015625,0.01538,1
2,1,2,1,1,2,3,3,6,1,5,0.5,0.5,1,1,2051,1,0,,,0.004877305,0.001219326,4.000000001,0.5,1.386294361,0,4,0.80000,0
2,1,2,1,1,2,3,3,7,1,6,0.8,0.2,1,1,1571,1,0,,,0.009754611,0.000609663,16,0.8,2.772588722,1.386294361,63.99999998,0.98462,1
2,1,2,1,1,2,3,3,8,1,4,0.3,0.7,0,0,1400,1,0,,,0.002438653,0.002438653,1,0.3,0,-0.84729786,0.428571429,0.30000,0
2,1,2,1,1,2,3,3,9,1,6,1,0,1,1,1391,1,1,,,0.009754611,0.000609663,16,0.999999,2.772588722,13.81550956,15999984.03,1.00000,1
2,1,2,1,1,2,3,3,10,1,1,0.9,0.1,0,1,1644,0,0,,,0.000304832,0.019509221,0.015625,0.9,-4.158883083,2.197224577,0.140625,0.12329,1
2,1,2,1,1,2,3,3,11,1,7,0,1,0,0,1212,1,1,,,0.019509221,0.000304832,64.00000001,0.000001,4.158883083,-13.81550956,6.40001E-05,0.00006,1
2,1,2,1,1,2,3,3,12,1,5,0,1,0,0,2165,1,1,,,0.004877305,0.001219326,4.000000001,0.000001,1.386294361,-13.81550956,4E-06,0.00000,1
2,1,2,1,1,2,3,3,13,1,6,0,1,0,0,1597,1,1,,,0.009754611,0.000609663,16,0.000001,2.772588722,-13.81550956,1.6E-05,0.00002,1
2,1,2,1,1,2,3,3,14,1,7,0.1,0.9,1,0,1648,0,0,,,0.019509221,0.000304832,64.00000001,0.1,4.158883083,-2.197224577,7.111111111,0.87671,1
2,1,2,1,1,2,3,3,15,1,8,0,1,0,0,1034,1,1,,,0.039018442,0.000152416,256,0.000001,5.545177444,-13.81550956,0.000256,0.00026,1
2,1,2,1,1,2,3,3,16,1,8,0.4,0.6,1,0,1623,0,0,,,0.039018442,0.000152416,256,0.4,5.545177444,-0.405465108,170.6666666,0.99417,1
2,1,2,1,1,2,3,3,17,1,6,0.6,0.4,1,1,1586,1,0,,,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108,23.99999999,0.96000,1
2,1,2,1,1,2,3,3,18,1,3,0.9,0.1,1,1,1147,1,0,,,0.001219326,0.004877305,0.25,0.9,-1.386294361,2.197224577,2.25,0.69231,0
2,1,2,1,1,2,3,3,19,1,3,0.8,0.2,2,1,970,1,0,,,0.001219326,0.004877305,0.25,0.8,-1.386294361,1.386294361,1,0.50000,0
2,1,2,1,1,2,3,3,20,1,3,0.7,0.3,0,1,1054,0,0,,,0.001219326,0.004877305,0.25,0.7,-1.386294361,0.84729786,0.583333333,0.36842,0
2,1,2,1,1,2,3,3,21,1,4,0.4,0.6,0,0,1200,1,0,,,0.002438653,0.002438653,1,0.4,0,-0.405465108,0.666666667,0.40000,0
2,1,2,1,1,2,3,3,22,1,7,0.3,0.7,1,0,1342,0,0,,,0.019509221,0.000304832,64.00000001,0.3,4.158883083,-0.84729786,27.42857143,0.96482,1
2,1,2,1,1,2,3,3,23,1,5,0.8,0.2,1,1,1900,1,0,,,0.004877305,0.001219326,4.000000001,0.8,1.386294361,1.386294361,16,0.94118,1
2,1,2,1,1,2,3,3,24,1,6,0.9,0.1,1,1,1102,1,0,,,0.009754611,0.000609663,16,0.9,2.772588722,2.197224577,143.9999999,0.99310,1
2,1,2,1,1,2,3,3,25,1,2,0.9,0.1,0,1,772,0,0,,,0.000609663,0.009754611,0.0625,0.9,-2.772588722,2.197224577,0.5625,0.36000,0
2,1,2,1,1,2,3,3,26,1,0,0.7,0.3,0,1,1139,0,0,,,0.000152416,0.039018442,0.00390625,0.7,-5.545177444,0.84729786,0.009114583,0.00903,1
2,1,2,1,1,2,3,3,27,1,1,0.7,0.3,0,1,1224,0,0,,,0.000304832,0.019509221,0.015625,0.7,-4.158883083,0.84729786,0.036458333,0.03518,1
2,1,2,1,1,2,3,3,28,1,4,0.5,0.5,2,1,1764,1,0,,,0.002438653,0.002438653,1,0.5,0,0,1,0.50000,0
2,1,2,1,1,2,3,3,29,1,5,0.4,0.6,1,0,1256,0,0,,,0.004877305,0.001219326,4.000000001,0.4,1.386294361,-0.405465108,2.666666667,0.72727,0
2,1,2,1,1,2,3,3,30,1,5,0.3,0.7,1,0,1110,0,0,,,0.004877305,0.001219326,4.000000001,0.3,1.386294361,-0.84729786,1.714285715,0.63158,0
2,1,2,1,1,2,3,3,31,1,4,0.2,0.8,0,0,1351,1,0,,,0.002438653,0.002438653,1,0.2,0,-1.386294361,0.25,0.20000,0
2,1,2,1,1,2,3,3,32,1,5,0.1,0.9,0,0,1018,1,0,,,0.004877305,0.001219326,4.000000001,0.1,1.386294361,-2.197224577,0.444444445,0.30769,0
2,1,2,1,1,2,3,3,33,1,4,0.7,0.3,1,1,1093,1,0,,,0.002438653,0.002438653,1,0.7,0,0.84729786,2.333333332,0.70000,0
2,1,2,1,1,2,3,3,34,1,3,0.2,0.8,0,0,971,1,0,,,0.001219326,0.004877305,0.25,0.2,-1.386294361,-1.386294361,0.0625,0.05882,1
2,1,2,1,1,2,3,3,35,1,6,1,0,1,1,712,1,1,7,0.685714286,0.009754611,0.000609663,16,0.999999,2.772588722,13.81550956,15999984.03,1.00000,1
5,1,1,0,1,1,2,3,1,3,7,0,1,0,0,1504,1,1,,,0.019509221,0.000304832,64.00000001,0.000001,4.158883083,-13.81550956,6.40001E-05,0.00006,1
5,1,1,0,1,1,2,3,2,3,4,0.5,0.5,2,1,1476,1,0,,,0.002438653,0.002438653,1,0.5,0,0,1,0.50000,0
5,1,1,0,1,1,2,3,3,3,3,0.9,0.1,1,1,1840,1,0,,,0.001219326,0.004877305,0.25,0.9,-1.386294361,2.197224577,2.25,0.69231,0
5,1,1,0,1,1,2,3,4,3,6,0.1,0.9,1,1,1861,1,0,,,0.009754611,0.000609663,16,0.1,2.772588722,-2.197224577,1.777777778,0.64000,0
5,1,1,0,1,1,2,3,5,3,4,0.3,0.7,0,1,2000,0,0,,,0.002438653,0.002438653,1,0.3,0,-0.84729786,0.428571429,0.30000,0
5,1,1,0,1,1,2,3,6,3,1,0.5,0.5,0,0,1830,1,0,,,0.000304832,0.019509221,0.015625,0.5,-4.158883083,0,0.015625,0.01538,1
5,1,1,0,1,1,2,3,7,3,6,0.6,0.4,1,1,1506,1,0,,,0.009754611,0.000609663,16,0.6,2.772588722,0.405465108,23.99999999,0.96000,1
5,1,1,0,1,1,2,3,8,3,1,0.3,0.7,0,0,1523,1,0,,,0.000304832,0.019509221,0.015625,0.3,-4.158883083,-0.84729786,0.006696429,0.00665,1
5,1,1,0,1,1,2,3,9,3,2,1,0,1,0,1683,0,1,,,0.000609663,0.009754611,0.0625,0.999999,-2.772588722,13.81550956,62499.93764,0.99998,1
